Gene,UniProt,Sample_type,Tissue,Species,Repository,Reference,Confidence_Score,Description,Coverage_Map_File,Total_Ion_Intensity
TINAGL1,Q9GZM7,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5924.1,Tubulointerstitial nephritis antigen-like,Varicose Saphenous Vein (Insoluble protein fraction)_Q9GZM7.html,426699008
TINAGL1,Q9GZM7,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5924.1,Tubulointerstitial nephritis antigen-like,Varicose Saphenous Vein (Soluble protein fraction)_Q9GZM7.html,1248280
Igfbp7,Q61581,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5905.45,Insulin-like growth factor-binding protein 7,Bronchoalveolar lavage of fibrotic lung_Q61581.html,195692992
Igfbp7,Q61581,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5905.45,Insulin-like growth factor-binding protein 7,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61581.html,32168400900
Aspn,Q99MQ4,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5881.38,Asporin,Bronchoalveolar lavage of fibrotic lung_Q99MQ4.html,6792750
Aspn,Q99MQ4,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5881.38,Asporin,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q99MQ4.html,11351100400
MFGE8,Q08431,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5871.21,Lactadherin,Asymptomatic carotid (Insoluble ECM protein fraction)_Q08431.html,0
MFGE8,Q08431,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5871.21,Lactadherin,Asymptomatic carotid (Soluble protein fraction)_Q08431.html,0
MFGE8,Q08431,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5871.21,Lactadherin,Normal Saphenous Vein (Insoluble protein fraction)_Q08431.html,73997000
MFGE8,Q08431,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,5871.21,Lactadherin,Proteins from human vascular SMCs in culture_Q08431.html,0
MFGE8,Q08431,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5871.21,Lactadherin,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_Q08431.html,0
MFGE8,Q08431,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5871.21,Lactadherin,Symptomatic carotid stenosis (Soluble protein fraction)_Q08431.html,0
COL4A2,P08572,Glomerular basement membrane,Kidney,human,PXD000456,10.1681/ASN.2013030233,5862.39,Collagen alpha-2(IV) chain,Glomerular basement membrane_P08572.html,19419400200
Serpina1d,Q00897,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5850.51,Alpha-1-antitrypsin 1-4,Bronchoalveolar lavage of fibrotic lung_Q00897.html,3.18E+11
Serpina1d,Q00897,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5850.51,Alpha-1-antitrypsin 1-4,Bronchoalveolar lavage of normal lung_Q00897.html,10975299600
Serpina1d,Q00897,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5850.51,Alpha-1-antitrypsin 1-4,Normal lung ECM (Quantitative detergent solubility profiling)_Q00897.html,535273984
Itih1,Q61702,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5836.89,Inter-alpha-trypsin inhibitor heavy chain H1,Bronchoalveolar lavage of fibrotic lung_Q61702.html,11213599700
Itih1,Q61702,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5836.89,Inter-alpha-trypsin inhibitor heavy chain H1,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61702.html,8393600000
Postn,Q62009-3,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5812.55,Isoform 3 of Periostin,Bronchoalveolar lavage of fibrotic lung_Q62009-3.html,1438200060
Postn,Q62009-3,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5812.55,Isoform 3 of Periostin,Bronchoalveolar lavage of normal lung_Q62009-3.html,1520300
Postn,Q62009-3,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5812.55,Isoform 3 of Periostin,Normal lung_Q62009-3.html,632091010
Postn,Q62009-3,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5812.55,Isoform 3 of Periostin,Normal lung_Q62009-3.html,632091010
Postn,Q62009-3,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5812.55,Isoform 3 of Periostin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q62009-3.html,680523010
Postn,Q62009-3,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5812.55,Isoform 3 of Periostin,Normal lung ECM (Quantitative detergent solubility profiling)_Q62009-3.html,1822809980
DPT,Q07507,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5732.42,Dermatopontin,Asymptomatic carotid (Insoluble ECM protein fraction)_Q07507.html,0
DPT,Q07507,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5732.42,Dermatopontin,Asymptomatic carotid (Soluble protein fraction)_Q07507.html,0
DPT,Q07507,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5732.42,Dermatopontin,Normal Saphenous Vein (Insoluble protein fraction)_Q07507.html,3871579900
DPT,Q07507,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5732.42,Dermatopontin,Normal Saphenous Vein (Soluble protein fraction)_Q07507.html,1234960
DPT,Q07507,Proteins from human vascular SMCs in culture,Blood vessel,human,PXD005130,10.1172/JCI86924,5732.42,Dermatopontin,Proteins from human vascular SMCs in culture_Q07507.html,0
DPT,Q07507,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,5732.42,Dermatopontin,Retinal vascular basement membrane_Q07507.html,432424
DPT,Q07507,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5732.42,Dermatopontin,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_Q07507.html,0
DPT,Q07507,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5732.42,Dermatopontin,Symptomatic carotid stenosis (Soluble protein fraction)_Q07507.html,0
DPT,Q07507,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5732.42,Dermatopontin,Varicose Saphenous Vein (Insoluble protein fraction)_Q07507.html,1018680000
DPT,Q07507,Varicose Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5732.42,Dermatopontin,Varicose Saphenous Vein (Soluble protein fraction)_Q07507.html,3178460
COL1A1,P02452,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,5718.44,Collagen alpha-1(I) chain,Normal colon_P02452.html,39842500
HSPG2,P98160,Basement membrane of inner limiting membrane,Eye,human,PXD001025,10.1021/pr5002065,5679.98,Basement membrane-specific heparan sulfate proteoglycan core protein,Basement membrane of inner limiting membrane_P98160.html,143792992
Itih3,Q61704,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5671.34,Inter-alpha-trypsin inhibitor heavy chain H3,Bronchoalveolar lavage of fibrotic lung_Q61704.html,9555540000
Itih3,Q61704,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5671.34,Inter-alpha-trypsin inhibitor heavy chain H3,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61704.html,4991629800
ITIH1,P19827,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5623.91,Inter-alpha-trypsin inhibitor heavy chain H1,Asymptomatic carotid (Insoluble ECM protein fraction)_P19827.html,0
ITIH1,P19827,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5623.91,Inter-alpha-trypsin inhibitor heavy chain H1,Asymptomatic carotid (Soluble protein fraction)_P19827.html,0
ITIH1,P19827,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5623.91,Inter-alpha-trypsin inhibitor heavy chain H1,Normal Saphenous Vein (Insoluble protein fraction)_P19827.html,43189600
ITIH1,P19827,Normal Saphenous Vein (Soluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5623.91,Inter-alpha-trypsin inhibitor heavy chain H1,Normal Saphenous Vein (Soluble protein fraction)_P19827.html,10019500
ITIH1,P19827,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5623.91,Inter-alpha-trypsin inhibitor heavy chain H1,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P19827.html,0
ITIH1,P19827,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5623.91,Inter-alpha-trypsin inhibitor heavy chain H1,Symptomatic carotid stenosis (Soluble protein fraction)_P19827.html,0
ITIH1,P19827,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5623.91,Inter-alpha-trypsin inhibitor heavy chain H1,Varicose Saphenous Vein (Insoluble protein fraction)_P19827.html,37983000
Serpinc1,P32261,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5612.09,Antithrombin-III,Bronchoalveolar lavage of fibrotic lung_P32261.html,35302801000
Serpinc1,P32261,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5612.09,Antithrombin-III,Bronchoalveolar lavage of normal lung_P32261.html,1483890050
Serpinc1,P32261,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5612.09,Antithrombin-III,Normal lung_P32261.html,559933
Serpinc1,P32261,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5612.09,Antithrombin-III,Normal lung ECM (Quantitative detergent solubility profiling)_P32261.html,305819008
Emilin1,Q99K41,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5540.26,EMILIN-1,Bronchoalveolar lavage of fibrotic lung_Q99K41.html,735918
Emilin1,Q99K41,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5540.26,EMILIN-1,Normal lung_Q99K41.html,1399920000
Emilin1,Q99K41,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5540.26,EMILIN-1,Normal lung_Q99K41.html,1399920000
Emilin1,Q99K41,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5540.26,EMILIN-1,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q99K41.html,338017984
Emilin1,Q99K41,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5540.26,EMILIN-1,Normal lung ECM (Quantitative detergent solubility profiling)_Q99K41.html,1082630020
ASPN,Q9BXN1,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5539.84,Asporin,Asymptomatic carotid (Insoluble ECM protein fraction)_Q9BXN1.html,0
ASPN,Q9BXN1,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5539.84,Asporin,Normal Saphenous Vein (Insoluble protein fraction)_Q9BXN1.html,1697529980
ASPN,Q9BXN1,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5539.84,Asporin,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_Q9BXN1.html,0
ASPN,Q9BXN1,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5539.84,Asporin,Varicose Saphenous Vein (Insoluble protein fraction)_Q9BXN1.html,278484992
FGG,P02679,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,5403.85,Fibrinogen gamma chain,Liver metastasis from metastatic colorectal tumor_P02679.html,59778500
FGG,P02679,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,5403.85,Fibrinogen gamma chain,Primary metastatic colorectal tumor_P02679.html,1312150020
Col6a2,Q02788,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5403.48,Collagen alpha-2(VI) chain,Bronchoalveolar lavage of fibrotic lung_Q02788.html,109022000
Col6a2,Q02788,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5403.48,Collagen alpha-2(VI) chain,Normal lung_Q02788.html,2147250050
Col6a2,Q02788,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5403.48,Collagen alpha-2(VI) chain,Normal lung_Q02788.html,2147250050
Col6a2,Q02788,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5403.48,Collagen alpha-2(VI) chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q02788.html,510160000
Col6a2,Q02788,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5403.48,Collagen alpha-2(VI) chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q02788.html,2278390020
EMILIN1,Q9Y6C2,ECM of cultured primary fibroblasts from normal prostate,Prostate,human,PXD006562,10.1002/pros.23503,5331.39,EMILIN-1,ECM of cultured primary fibroblasts from normal prostate_Q9Y6C2.html,313415008
EMILIN1,Q9Y6C2,ECM of cultured primary fibroblasts from prostate cancer stroma,Prostate,human,PXD006562,10.1002/pros.23503,5331.39,EMILIN-1,ECM of cultured primary fibroblasts from prostate cancer stroma_Q9Y6C2.html,269993984
EMILIN1,Q9Y6C2,Normal prostate (Insoluble protein fraction),Prostate,human,PXD006562,10.1002/pros.23503,5331.39,EMILIN-1,Normal prostate (Insoluble protein fraction)_Q9Y6C2.html,608065020
COL4A1,P02462,Glomerular basement membrane,Kidney,human,PXD000456,10.1681/ASN.2013030233,5329.03,Collagen alpha-1(IV) chain,Glomerular basement membrane_P02462.html,20633100300
Lgals3,P16110,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5314.55,Galectin-3,Bronchoalveolar lavage of fibrotic lung_P16110.html,3002980100
Lgals3,P16110,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5314.55,Galectin-3,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P16110.html,52681998000
Thbs1,P35441,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5296.37,Thrombospondin-1,Bronchoalveolar lavage of fibrotic lung_P35441.html,751542020
Thbs1,P35441,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5296.37,Thrombospondin-1,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P35441.html,28329001000
Fgg,Q8VCM7,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5281.84,Fibrinogen gamma chain,Bronchoalveolar lavage of fibrotic lung_Q8VCM7.html,20321499100
Fgg,Q8VCM7,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5281.84,Fibrinogen gamma chain,Bronchoalveolar lavage of normal lung_Q8VCM7.html,619761020
Fgg,Q8VCM7,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5281.84,Fibrinogen gamma chain,Normal lung_Q8VCM7.html,1397650050
Fgg,Q8VCM7,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5281.84,Fibrinogen gamma chain,Normal lung_Q8VCM7.html,1397650050
Fgg,Q8VCM7,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5281.84,Fibrinogen gamma chain,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q8VCM7.html,3229969920
Fgg,Q8VCM7,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5281.84,Fibrinogen gamma chain,Normal lung ECM (Quantitative detergent solubility profiling)_Q8VCM7.html,1813730050
TNXB,P22105-4,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5252.12,Isoform 5 of Tenascin-X,Asymptomatic carotid (Insoluble ECM protein fraction)_P22105-4.html,0
TNXB,P22105-4,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5252.12,Isoform 5 of Tenascin-X,Asymptomatic carotid (Soluble protein fraction)_P22105-4.html,0
TNXB,P22105-4,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,5252.12,Isoform 5 of Tenascin-X,Retinal vascular basement membrane_P22105-4.html,8012820
TNXB,P22105-4,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5252.12,Isoform 5 of Tenascin-X,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P22105-4.html,0
TNXB,P22105-4,Symptomatic carotid stenosis (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5252.12,Isoform 5 of Tenascin-X,Symptomatic carotid stenosis (Soluble protein fraction)_P22105-4.html,0
Fbn1,Q61554,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5221.73,Fibrillin-1,Bronchoalveolar lavage of fibrotic lung_Q61554.html,14502300
Fbn1,Q61554,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5221.73,Fibrillin-1,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q61554.html,36285800000
Anxa2,P07356,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5143,Annexin A2,Bronchoalveolar lavage of fibrotic lung_P07356.html,4905710100
Anxa2,P07356,Bronchoalveolar lavage of normal lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5143,Annexin A2,Bronchoalveolar lavage of normal lung_P07356.html,387145984
Anxa2,P07356,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5143,Annexin A2,Normal lung_P07356.html,633688000
Anxa2,P07356,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5143,Annexin A2,Normal lung_P07356.html,633688000
Anxa2,P07356,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5143,Annexin A2,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P07356.html,282508992
Anxa2,P07356,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5143,Annexin A2,Normal lung ECM (Quantitative detergent solubility profiling)_P07356.html,10151300100
HSPG2,P98160,Normal colon,Colon,human,MSV000078555,10.1186/1471-2407-14-518,5129.39,Basement membrane-specific heparan sulfate proteoglycan core protein,Normal colon_P98160.html,82162304
ACAN,P16112-3,Asymptomatic carotid (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5108.65,Isoform 3 of Aggrecan core protein,Asymptomatic carotid (Insoluble ECM protein fraction)_P16112-3.html,0
ACAN,P16112-3,Asymptomatic carotid (Soluble protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5108.65,Isoform 3 of Aggrecan core protein,Asymptomatic carotid (Soluble protein fraction)_P16112-3.html,0
ACAN,P16112-3,Normal Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5108.65,Isoform 3 of Aggrecan core protein,Normal Saphenous Vein (Insoluble protein fraction)_P16112-3.html,565772030
ACAN,P16112-3,Retinal vascular basement membrane,Blood vessel,human,PXD001025,10.1021/pr5002065,5108.65,Isoform 3 of Aggrecan core protein,Retinal vascular basement membrane_P16112-3.html,13778500
ACAN,P16112-3,Symptomatic carotid stenosis (Insoluble ECM protein fraction),Blood vessel,human,PXD005130,10.1172/JCI86924,5108.65,Isoform 3 of Aggrecan core protein,Symptomatic carotid stenosis (Insoluble ECM protein fraction)_P16112-3.html,0
ACAN,P16112-3,Varicose Saphenous Vein (Insoluble protein fraction),Blood vessel,human,PXD002555,10.1093/cvr/cvw075,5108.65,Isoform 3 of Aggrecan core protein,Varicose Saphenous Vein (Insoluble protein fraction)_P16112-3.html,61072900
Lamb3,Q61087,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5085.7,Laminin subunit beta-3,Bronchoalveolar lavage of fibrotic lung_Q61087.html,24124200
Lamb3,Q61087,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5085.7,Laminin subunit beta-3,Normal lung_Q61087.html,1105939970
Lamb3,Q61087,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5085.7,Laminin subunit beta-3,Normal lung_Q61087.html,1105939970
Lamb3,Q61087,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5085.7,Laminin subunit beta-3,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_Q61087.html,335868992
Lamb3,Q61087,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5085.7,Laminin subunit beta-3,Normal lung ECM (Quantitative detergent solubility profiling)_Q61087.html,3272440060
THBS1,P07996,ECM of cultured primary fibroblasts from normal prostate,Prostate,human,PXD006562,10.1002/pros.23503,5075.13,Thrombospondin-1,ECM of cultured primary fibroblasts from normal prostate_P07996.html,282232992
THBS1,P07996,ECM of cultured primary fibroblasts from prostate cancer stroma,Prostate,human,PXD006562,10.1002/pros.23503,5075.13,Thrombospondin-1,ECM of cultured primary fibroblasts from prostate cancer stroma_P07996.html,313300000
COL6A3,P12111-4,Liver metastasis from metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,5071.49,Isoform 4 of Collagen alpha-3(VI) chain,Liver metastasis from metastatic colorectal tumor_P12111-4.html,118398000
COL6A3,P12111-4,Primary metastatic colorectal tumor,Colon Cancer,human,MSV000078555,10.1186/1471-2407-14-518,5071.49,Isoform 4 of Collagen alpha-3(VI) chain,Primary metastatic colorectal tumor_P12111-4.html,800844030
Fgg,Q8VCM7,,Liver Fibrosis,mouse,MSV000081084,10.1002/hep.28918,5042.81,Fibrinogen gamma chain,_Q8VCM7.html,0
Fgg,Q8VCM7,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,5042.81,Fibrinogen gamma chain,Liver Fibrosis_Q8VCM7.html,0
Eln,P54320,Bronchoalveolar lavage of fibrotic lung,Lung,mouse,PXD001765,10.15252/msb.20156123,5040.25,Elastin,Bronchoalveolar lavage of fibrotic lung_P54320.html,162624000
Eln,P54320,Normal lung,Lung,mouse,MSV000078494,10.1074/mcp.M111.014647,5040.25,Elastin,Normal lung_P54320.html,144075008
Eln,P54320,Normal lung,Lung,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,5040.25,Elastin,Normal lung_P54320.html,144075008
Eln,P54320,Normal lung / Lung adenocarcinoma / Lymph node metastasis (TMT experiment),Lung,mouse,PXD003517,10.1073/pnas.1707054114,5040.25,Elastin,Normal lung _ Lung adenocarcinoma _ Lymph node metastasis (TMT experiment)_P54320.html,1892950020
Eln,P54320,Normal lung ECM (Quantitative detergent solubility profiling),Lung,mouse,PXD001765,10.15252/msb.20156123,5040.25,Elastin,Normal lung ECM (Quantitative detergent solubility profiling)_P54320.html,158538000
Fn1,P11276,Bronchoalveolar lavage of fibrotic lung,Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5003.97,Fibronectin,Bronchoalveolar lavage of fibrotic lung_P11276.html,66819400000
Fn1,P11276,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,5003.97,Fibronectin,Fibrotic lung ECM (Quantitative detergent solubility profiling)_P11276.html,2.96E+12
Col1a1,P11087,,Liver Fibrosis,mouse,MSV000081084,10.1002/hep.28918,4964.37,Collagen alpha-1(I) chain,_P11087.html,0
Col1a1,P11087,Liver Fibrosis,Liver Fibrosis,mouse,LiverFibrosis_Klaas_SciReports,10.1038/srep27398,4964.37,Collagen alpha-1(I) chain,Liver Fibrosis_P11087.html,0
Fbn1,Q61554,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,4963.69,Fibrillin-1,Highly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q61554.html,78991000
Fbn1,Q61554,Lung metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,4963.69,Fibrillin-1,Lung metastasis (4T1)_Q61554.html,1414320000
Fbn1,Q61554,Lymph node metastasis (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,4963.69,Fibrillin-1,Lymph node metastasis (4T1)_Q61554.html,1841389950
Fbn1,Q61554,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2),Breast Cancer,human/mouse,MSV000078535,10.7554/eLife.01308,4963.69,Fibrillin-1,Poorly metastatic mammary tumor xenograft (MDA-MB-231_LM2)_Q61554.html,9595400
Fbn1,Q61554,Syngeneic mammary tumor (4T1),Breast Cancer,mouse,PXD006579,10.1016/j.semcdb.2018.06.005,4963.69,Fibrillin-1,Syngeneic mammary tumor (4T1)_Q61554.html,3340160000
Postn,Q62009,Fibrotic lung ECM (Quantitative detergent solubility profiling),Lung Fibrosis,mouse,PXD001765,10.15252/msb.20156123,4903.47,Periostin,Fibrotic lung ECM (Quantitative detergent solubility profiling)_Q62009.html,1.23E+11
COL6A3,P12111-4,Normal omental tissue (Crude ECM protein fraction),Ovarian Cancer Metastasis,human,PXD005554,10.1021/acs.jproteome.7b00191,4899.18,Isoform 4 of Collagen alpha-3(VI) chain,Normal omental tissue (Crude ECM protein fraction)_P12111-4.html,366276992
